level,parent_2d_code,parent_2d_label,code,label,jobs_2023,salary_mean_annual_gross_2018,contracts_2025,demandants_2025,unemployed_2025,ai_exposure,ai_confidence,source_url
4d,23,Otros profesionales de la enseñanza,2329,Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes,,,84468,8806,3839,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2329-Profesores-y-profesionales-de-la-ense-anza-no-clasificados-bajo-otros-ep-grafes~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2411,Físicos y astrónomos,,,1830,795,528,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2411-F-sicos-y-astr-nomos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2412,Meteorólogos,,,67,22,15,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2412-Meteor-logos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2413,Químicos,,,2820,3093,1862,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2413-Qu-micos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2414,Geólogos y geofísicos,,,724,708,389,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2414-Ge-logos-y-geof-sicos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2415,Matemáticos y actuarios,,,443,556,318,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2415-Matem-ticos-y-actuarios~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2416,Estadísticos,,,419,291,187,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2416-Estad-sticos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2421,"Biólogos, botánicos, zoólogos y afines",,,8681,8228,5111,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2421-Bi-logos--bot-nicos--zo-logos-y-afines~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2422,Ingenieros agrónomos,,,1068,835,443,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2422-Ingenieros-agr-nomos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2423,Ingenieros de montes,,,249,228,112,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2423-Ingenieros-de-montes~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2424,Ingenieros técnicos agrícolas,,,1562,2046,1082,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2424-Ingenieros-t-cnicos-agr-colas~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2425,Ingenieros técnicos forestales y del medio natural,,,710,624,310,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2425-Ingenieros-t-cnicos-forestales-y-del-medio-natural~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2426,Profesionales de la protección ambiental,,,759,213,111,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2426-Profesionales-de-la-protecci-n-ambiental~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2427,Enólogos,,,117,118,68,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2427-En-logos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2431,Ingenieros industriales y de producción,,,9729,3829,2154,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2431-Ingenieros-industriales-y-de-producci-n~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2432,Ingenieros en construcción y obra civil,,,4339,1325,773,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2432-Ingenieros-en-construcci-n-y-obra-civil~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2433,Ingenieros mecánicos,,,2595,2066,1112,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2433-Ingenieros-mec-nicos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2434,Ingenieros aeronáuticos,,,1132,198,103,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2434-Ingenieros-aeron-uticos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2435,Ingenieros químicos,,,1414,951,570,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2435-Ingenieros-qu-micos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2436,"Ingenieros de minas, metalúrgicos y afines",,,397,291,152,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2436-Ingenieros-de-minas--metal-rgicos-y-afines~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2437,Ingenieros ambientales,,,589,338,189,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2437-Ingenieros-ambientales~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2439,Ingenieros no clasificados bajo otros epígrafes,,,20350,1539,961,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2439-Ingenieros-no-clasificados-bajo-otros-ep-grafes~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2441,Ingenieros en electricidad,,,1437,824,477,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2441-Ingenieros-en-electricidad~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2442,Ingenieros electrónicos,,,2257,981,549,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2442-Ingenieros-electr-nicos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2443,Ingenieros en telecomunicaciones,,,2380,1733,1159,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2443-Ingenieros-en-telecomunicaciones~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2451,Arquitectos (excepto arquitectos paisajistas y urbanistas),,,5031,3419,1985,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2451-Arquitectos--excepto-arquitectos-paisajistas-y-urbanistas-~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2452,Arquitectos paisajistas,,,112,75,39,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2452-Arquitectos-paisajistas~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2453,Urbanistas e ingenieros de tráfico,,,71,92,49,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2453-Urbanistas-e-ingenieros-de-tr-fico~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2454,Ingenieros geógrafos y cartógrafos,,,160,76,43,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2454-Ingenieros-ge-grafos-y-cart-grafos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2461,Ingenieros técnicos industriales y de producción,,,3979,897,512,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2461-Ingenieros-t-cnicos-industriales-y-de-producci-n~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2462,Ingenieros técnicos de obras públicas,,,1092,697,385,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2462-Ingenieros-t-cnicos-de-obras-p-blicas~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2463,Ingenieros técnicos mecánicos,,,909,1420,712,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2463-Ingenieros-t-cnicos-mec-nicos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2464,Ingenieros técnicos aeronáuticos,,,501,287,191,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2464-Ingenieros-t-cnicos-aeron-uticos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2465,Ingenieros técnicos químicos,,,249,484,249,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2465-Ingenieros-t-cnicos-qu-micos~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2466,"Ingenieros técnicos de minas, metalúrgicos y afines",,,189,439,200,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2466-Ingenieros-t-cnicos-de-minas--metal-rgicos-y-afines~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2469,Ingenieros técnicos no clasificados bajo otros epígrafes,,,6460,1208,727,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2469-Ingenieros-t-cnicos-no-clasificados-bajo-otros-ep-grafes~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2471,Ingenieros técnicos en electricidad,,,895,832,441,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2471-Ingenieros-t-cnicos-en-electricidad~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2472,Ingenieros técnicos en electrónica,,,512,680,368,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2472-Ingenieros-t-cnicos-en-electr-nica~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2473,Ingenieros técnicos en telecomunicaciones,,,694,842,553,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2473-Ingenieros-t-cnicos-en-telecomunicaciones~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2481,Arquitectos técnicos y técnicos urbanistas,,,4659,2917,1674,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2481-Arquitectos-t-cnicos-y-t-cnicos-urbanistas~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2482,Diseñadores de productos y de prendas,,,1572,2982,2042,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2482-Dise-adores-de-productos-y-de-prendas~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2483,Ingenieros técnicos en topografía,,,740,327,164,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2483-Ingenieros-t-cnicos-en-topograf-a~.html
4d,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2484,Diseñadores gráficos y multimedia,,,6026,14435,9780,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2484-Dise-adores-gr-ficos-y-multimedia~.html
4d,25,Profesionales en derecho,2511,Abogados,,,8968,10455,6321,7,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2511-Abogados~.html
4d,25,Profesionales en derecho,2512,Fiscales,,,103,33,16,7,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2512-Fiscales~.html
4d,25,Profesionales en derecho,2513,Jueces y magistrados,,,15,119,66,6,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2513-Jueces-y-magistrados~.html
4d,25,Profesionales en derecho,2591,Notarios y registradores,,,34,17,11,7,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2591-Notarios-y-registradores~.html
4d,25,Profesionales en derecho,2592,Procuradores,,,32,120,77,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2592-Procuradores~.html
4d,25,Profesionales en derecho,2599,Profesionales del derecho no clasificados bajo otros epígrafes,,,3221,4773,2809,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2599-Profesionales-del-derecho-no-clasificados-bajo-otros-ep-grafes~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2611,Especialistas en contabilidad,,,6778,4765,2862,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2611-Especialistas-en-contabilidad~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2612,Asesores financieros y en inversiones,,,1526,1839,1111,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2612-Asesores-financieros-y-en-inversiones~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2613,Analistas financieros,,,4358,542,288,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2613-Analistas-financieros~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2621,Analistas de gestión y organización,,,14509,618,442,7,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2621-Analistas-de-gesti-n-y-organizaci-n~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2622,Especialistas en administración de política de empresas,,,4116,8667,5014,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2622-Especialistas-en-administraci-n-de-pol-tica-de-empresas~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2623,Especialistas de la administración pública,,,3919,1041,546,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2623-Especialistas-de-la-administraci-n-p-blica~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2624,Especialistas en políticas y servicios de personal y afines,,,7959,14420,7328,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2624-Especialistas-en-pol-ticas-y-servicios-de-personal-y-afines~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2625,Especialistas en formación de personal,,,1981,61,30,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2625-Especialistas-en-formaci-n-de-personal~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2630,Técnicos de empresas y actividades turísticas,,,8375,4206,2207,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2630-T-cnicos-de-empresas-y-actividades-tur-sticas~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2640,Profesionales de ventas técnicas y médicas (excepto las tic),,,6353,9337,6328,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2640-Profesionales-de-ventas-t-cnicas-y-m-dicas--excepto-las-tic-~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2651,Profesionales de la publicidad y la comercialización,,,24605,11520,7713,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2651-Profesionales-de-la-publicidad-y-la-comercializaci-n~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2652,Profesionales de relaciones públicas,,,3724,2459,1676,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2652-Profesionales-de-relaciones-p-blicas~.html
4d,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,2653,Profesionales de la venta de tecnologías de la información y las comunicaciones,,,3031,976,608,7,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2653-Profesionales-de-la-venta-de-tecnolog-as-de-la-informaci-n-y-las-comunicaciones~.html
4d,27,Profesionales de las tecnologías de la información,2711,Analistas de sistemas,,,12239,4653,3161,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2711-Analistas-de-sistemas~.html
4d,27,Profesionales de las tecnologías de la información,2712,Analistas y diseñadores de software,,,6597,3356,2352,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2712-Analistas-y-dise-adores-de-software~.html
4d,27,Profesionales de las tecnologías de la información,2713,"Analistas, programadores y diseñadores web y multimedia",,,17560,4691,3292,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2713-Analistas--programadores-y-dise-adores-web-y-multimedia~.html
4d,27,Profesionales de las tecnologías de la información,2719,Analistas y diseñadores de software y multimedia no clasificados bajo otros epígrafes,,,3612,1614,1107,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2719-Analistas-y-dise-adores-de-software-y-multimedia-no-clasificados-bajo-otros-ep-grafes~.html
4d,27,Profesionales de las tecnologías de la información,2721,Diseñadores y administradores de bases de datos,,,1356,3374,2294,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2721-Dise-adores-y-administradores-de-bases-de-datos~.html
4d,27,Profesionales de las tecnologías de la información,2722,Administradores de sistemas y redes,,,4416,1165,683,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2722-Administradores-de-sistemas-y-redes~.html
4d,27,Profesionales de las tecnologías de la información,2723,Analistas de redes informáticas,,,2234,558,398,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2723-Analistas-de-redes-inform-ticas~.html
4d,27,Profesionales de las tecnologías de la información,2729,Especialistas en bases de datos y en redes informáticas no clasificados bajo otros epígrafes,,,6582,397,273,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2729-Especialistas-en-bases-de-datos-y-en-redes-inform-ticas-no-clasificados-bajo-otros-ep-grafes~.html
4d,28,Profesionales en ciencias sociales,2810,Economistas,,,1722,5336,3251,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2810-Economistas~.html
4d,28,Profesionales en ciencias sociales,2821,"Sociólogos, geógrafos, antropólogos, arqueólogos y afines",,,2086,4049,2189,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2821-Soci-logos--ge-grafos--antrop-logos--arque-logos-y-afines~.html
4d,28,Profesionales en ciencias sociales,2822,"Filósofos, historiadores y profesionales en ciencias políticas",,,763,3029,1827,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2822-Fil-sofos--historiadores-y-profesionales-en-ciencias-pol-ticas~.html
4d,28,Profesionales en ciencias sociales,2823,Psicólogos,,,16293,13833,6331,5,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2823-Psic-logos~.html
4d,28,Profesionales en ciencias sociales,2824,Profesionales del trabajo y la educación social,,,67857,19907,7849,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2824-Profesionales-del-trabajo-y-la-educaci-n-social~.html
4d,28,Profesionales en ciencias sociales,2825,Agentes de igualdad de oportunidades entre mujeres y hombres,,,672,242,97,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2825-Agentes-de-igualdad-de-oportunidades-entre-mujeres-y-hombres~.html
4d,28,Profesionales en ciencias sociales,2830,Sacerdotes de las distintas religiones,,,128,39,23,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2830-Sacerdotes-de-las-distintas-religiones~.html
4d,29,Profesionales de la cultura y el espectáculo,2911,Archivistas y conservadores de museos,,,2049,1556,907,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2911-Archivistas-y-conservadores-de-museos~.html
4d,29,Profesionales de la cultura y el espectáculo,2912,"Bibliotecarios, documentalistas y afines",,,1763,2000,1186,7,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2912-Bibliotecarios--documentalistas-y-afines~.html
4d,29,Profesionales de la cultura y el espectáculo,2921,Escritores,,,1006,888,590,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2921-Escritores~.html
4d,29,Profesionales de la cultura y el espectáculo,2922,Periodistas,,,19577,9661,6000,7,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2922-Periodistas~.html
4d,29,Profesionales de la cultura y el espectáculo,2923,"Filólogos, intérpretes y traductores",,,4821,8175,4769,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2923-Fil-logos--int-rpretes-y-traductores~.html
4d,29,Profesionales de la cultura y el espectáculo,2931,Artistas de artes plásticas y visuales,,,16282,5179,3345,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2931-Artistas-de-artes-pl-sticas-y-visuales~.html
4d,29,Profesionales de la cultura y el espectáculo,2932,"Compositores, músicos y cantantes",,,152418,3647,1922,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2932-Compositores--m-sicos-y-cantantes~.html
4d,29,Profesionales de la cultura y el espectáculo,2933,Coreógrafos y bailarines,,,31352,1128,587,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2933-Core-grafos-y-bailarines~.html
